fixed acidity,volatile acidity,citric acid,residual sugar,value,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,Country,quality
7,0.27,0.36,20.7,218110,45,170,1.001,3,0.45,8.8,india,6
6.3,0.3,0.34,1.6,169356,14,132,0.994,3.3,0.49,9.5,Spain,6
8.1,0.28,0.4,6.9,124451,30,97,0.9951,3.26,0.44,10.1,Africa,6
7.2,0.23,0.32,8.5,,47,186,0.9956,3.19,0.4,9.9,india,6
7.2,0.23,0.32,8.5,238638,47,186,0.9956,3.19,0.4,9.9,india,6
8.1,0.28,0.4,6.9,124451,30,97,0.9951,3.26,0.44,10.1,india,6
6.2,0.32,0.16,7,174488,30,136,0.9949,3.18,0.47,9.6,Spain,6
7,0.27,0.36,20.7,218110,45,170,1.001,3,0.45,8.8,Africa,6
6.3,0.3,0.34,1.6,169356,14,132,0.994,3.3,0.49,9.5,india,6
8.1,0.22,0.43,1.5,165507,28,129,0.9938,3.22,0.45,11,Spain,6
8.1,0.27,0.41,1.45,80829,11,63,0.9908,2.99,0.56,12,Africa,5
8.6,0.23,0.4,4.2,139847,17,109,0.9947,3.14,0.53,9.7,india,5
7.9,0.18,0.37,1.2,96225,16,75,0.992,3.18,0.63,10.8,Spain,5
6.6,0.16,0.4,1.5,183469,48,143,0.9912,3.54,0.52,12.4,Africa,7
8.3,0.42,0.62,19.25,220676,41,172,1.0002,2.98,0.67,9.7,india,5
6.6,0.17,0.38,1.5,143696,28,112,0.9914,3.25,0.55,11.4,india,7
6.3,0.48,0.04,1.1,,30,99,,3.24,0.36,9.6,india,6
6.2,0.66,0.48,1.2,96225,29,75,0.9892,3.33,0.39,12.8,Spain,8
7.4,0.34,0.42,1.1,219393,17,171,0.9917,3.12,0.53,11.3,Africa,6
6.5,0.31,0.14,7.5,170639,34,133,0.9955,3.22,0.5,9.5,india,5
6.2,0.66,0.48,1.2,96225,29,75,0.9892,3.33,0.39,12.8,Spain,8
6.4,0.31,0.38,2.9,130866,19,102,0.9912,3.17,0.35,11,Africa,7
6.8,0.26,0.42,1.7,156526,41,122,0.993,3.47,0.48,10.5,india,8
7.6,0.67,0.14,1.5,215544,25,168,0.9937,3.05,0.51,9.3,Spain,5
6.6,0.27,0.41,1.3,182186,16,142,0.9951,3.42,0.47,10,Africa,6
7,0.25,0.32,9,314335,56,245,0.9955,3.25,0.5,10.4,india,6
6.9,0.24,0.35,1,187318,35,146,0.993,3.45,0.44,10,india,6
7,0.28,0.39,8.7,180903,32,141,0.9961,3.38,0.53,10.5,india,6
7.4,0.27,0.48,1.1,169356,17,132,0.9914,3.19,0.49,11.6,Spain,6
7.2,0.32,0.36,2,146262,37,114,0.9906,3.1,0.71,12.3,Africa,7
8.5,0.24,0.39,10.4,182186,20,142,0.9974,3.2,0.53,10,india,6
8.3,0.14,0.34,1.1,60301,7,47,0.9934,3.47,0.4,10.2,Spain,6
7.4,0.25,0.36,2.05,128300,31,100,0.992,3.19,0.44,10.8,Africa,6
6.2,0.12,0.34,1.5,150111,43,117,0.9939,3.42,0.51,9,india,6
5.8,0.27,0.2,14.95,229657,22,179,0.9962,3.37,0.37,10.2,Spain,5
7.3,0.28,0.43,1.7,157809,21,123,0.9905,3.19,0.42,12.8,Africa,5
6.5,0.39,0.23,5.4,191167,25,149,0.9934,3.24,0.35,10,india,5
7,0.33,0.32,1.2,177054,38,138,0.9906,3.13,0.28,11.2,india,6
7.3,0.24,0.39,17.95,191167,45,149,0.9999,3.21,0.36,8.6,india,5
