Description,Type, Amount
High Rank eSports Custom,PUBG,100
MPL Pro,Game,20
Google Opinion Rewards,Misc,30
SG eSports Invites Reward,Discord,20
Clan Wars Partnership,Discord,60
Flame eSports Tourney,PUBG,120
Midnitex Paid Alliance,Discord,50
G3 Paid Alliance,Discord,60
IT eSports Alliance ,Discord,1700
ChuChu Gamer Alliance,Discord,50
Ez Paid Alliance,Discord,50
TPR Paid Alliance,Discord,100
Flame Alliance,Discord,150
RG ESPORTS Alliance,Discord,50
Liquid Esports Alliance,Discord,900
RIP GAMING Alliance,Discord,100
B4R Server Battle,Discord,100
NF ESPORTS Paid Alliance,Discord,140
Revenge Paid Alliance,Discord,150
DA eSports Sale Com,Discord,100
M3X 5v5 CODM Tourney,CODM,20
Bipro Alliance,Discord,350
Trojan Alliance,Discord,100
Smokxe Alliance,Discord,400
Ultra Alliance,Discord,450
Real HomeTown Alliance,Discord,40
ELB Esports Alliance,Discord,100
LQD ESPORTS Alliance,Discord,150
Red Dot eSports Alliance,Discord,330
Mister eSports Alliance,Discord,30
Ohh Gaming Alliance,Discord,190
Smile Now App ,Game,10
Pinky Foi Aangi Help ,Misc,200
Winzo World War ,Game,10
SK eSports DM promotion ,Discord,20
Dark Side eSports DM Promo ,Discord,396
VPF 2023 Daman ,IT,3000
Geojit Financial Stock ,Stocks,70
Nifty IT ETF ,Stocks,45
Nifty Gold ETF,Stocks,187
Hindustan Zinc Stock ,Stocks,1468
Vedanta,Stocks,475
Hind Zinc Dividend,Stocks,70
Vedanta Dividend,Stocks,44
IDFC,Stocks,26
Tata Motors,Stocks,300
